_id,food_name,food_type,food_cuisine,ingredients
64315e59362c27c707fe1576,Chana masala ,Vegetarian,Indian,"Chickpea
Vegetable
Onion
Garam masala
Garlic
Chili pepper
Tomato
Coriander
Cumin
Ginger
Salt"
64315e59362c27c707fe1588,Garlic Rosemary Herb Focaccia,Vegetarian,Italian,"Yeast
Sugar
Salt
Olive oil
Bread flour"
64315e59362c27c707fe1593,Vegetarian Bourguignon,Vegetarian,French,"Braising steak
Bay leaves
Red wine
Oil
Carrots
Onions
Falour
Tomato
Butter
Bacon lardons
Onions
Mushrooms
Parsley"
64315e59362c27c707fe159a,Vegetarian pot-au-feu,Vegetarian,French,"Carrots
Leeks
Cabbage
flat-leaf parsley
Salt
Black pepper"
64315e59362c27c707fe15a0,Boeuf bourguignon,Non-vegetarian,French,"Beef
Red Wine
Carrot
Onion
Mushroom
Garlic
Butter
Salt
Bacon
Flour
Stock
Parsley
Tomato
Black pepper
Olive oil
Thyme"
64315e59362c27c707fe15a2,Chinese Cucumber Salad,Vegetarian,Chinese,"Cucumbers
Salt
Chili crisp
Wine vinegar
Sugar
Chili flakes
Garlic
Sesame oil
Sesame seeds"
64315e59362c27c707fe15a7,General Tso’s Tofu,Vegetarian,Chinese,"White rice
Broccoli
Sesame oil
Cornstarch
Garlic
Ginger
Rice vinegar 
Maple syrup
Soy sauce
Sesame oil
Neutral oil
STIR-FRY
Onions
Red chilies"
64315e59362c27c707fe15b4,Soba Noodle Salad,Vegetarian,Japanese,"Soba noodle
Onions
Cilantro
W sesame seeds
For the Dressing
Neutral-flavored oil
Sesame oil
Red pepper
Honey
Soy sauce"
64315e59362c27c707fe15b8,Sashimi,Non-vegetarian,Japanese,"Soy sauce
Sesame
Wasabi
Sushi grade fish"
64315e59362c27c707fe15bc,Tempura udon,Non-vegetarian,Japanese,"Vegetables
Frozen udon noodles
Dashi powder
Mirin
Soy sauce
Sugar, optional
Fsh cake
Onions
Chile flakes"
64315e59362c27c707fe15c1,Peanut Sauce,Vegetarian,Tai,"Sauce
Peanut
Soy Sauce
Chili pepper
Coconut milk
Garlic
Cream"
64315e59362c27c707fe15cf,Maque Choux,Vegetarian,American,"Maize
Butter
Onion
Bell Pepper
Tomato
Cream
Garlic
Salt
Minced garlic
Black pepper
Celery"
64315e59362c27c707fe15d1,Fried Green Tomatoes,Vegetarian,American,"Green tomatoes
Eggs
Milk
Flour
Cornmeal
Bread crumbs
Salt
Black pepper
Vegetable oil"
64315e59362c27c707fe15d7,Corn Dog,Non-vegetarian,American,"Flour
Egg
Cornmeal
Salt
Baking Powder
Buttermilk
Sausage"
64315e59362c27c707fe15d8,Beef Brisket,Non-vegetarian,American,"Garlic
Onion 
Paprika
Salt 
Black pepper
Cumin
Ground Chili 
Beef
Barbecue sauce
Garlic
Brown sugar
Worcestershire sauce"
64315e59362c27c707fe15d9,Chicken A La King,Non-vegetarian,American,"Butter
Mushrooms 
Flour
Chicken
Milk
Egg 
Heavy creamy
Frozen peas
Drained pimientos
"
64315e59362c27c707fe15db,Skordalia ,Vegetarian,Greek,"Garlic
Potatoa
Olive oil
Salt
Lemon
Black pepper
Juice
Red wine vinegar"
64315e59362c27c707fe15e8,Stifado,Non-vegetarian,Greek,"Beef
Onions
Olive oil
Red wine
Red wine vinegar
Cognac
Tomatoes
Bay leaf
Allspice berries
Nutmeg
Pepper
Salt"
64315e59362c27c707fe1589,Tuscan White Bean Salad,Vegetarian,Italian,"Cannellini
Vegitables
Cherry tomatoes
Onions
Parsley
Mint leaves
Lemon
Cheese
Pepper
Olive oil"
64315e59362c27c707fe15a8,Chinese Okra Salad,Vegetarian,Chinese,"Okra
Salt
Sesame oil
Sauce
Garlic 
Red pepper
Onion 
Soy sauce
Black vinegar
Salt
Sugar
Sesame oil"
